"replicate","fdr_c1","power_c1","dataset_name"
31,0.0855345911949685,0.825198637911464,"HumanOvarianCancer"
32,0.10519801980198,0.820658342792281,"HumanOvarianCancer"
33,0.0707850707850708,0.819523269012486,"HumanOvarianCancer"
34,0.0881612090680101,0.822727272727273,"HumanOvarianCancer"
35,0.0680628272251309,0.808172531214529,"HumanOvarianCancer"
36,0.0965250965250965,0.796821793416572,"HumanOvarianCancer"
37,0.0897435897435897,0.805902383654938,"HumanOvarianCancer"
38,0.075619295958279,0.805681818181818,"HumanOvarianCancer"
39,0.0931122448979592,0.807037457434733,"HumanOvarianCancer"
40,0.0715197956577267,0.825198637911464,"HumanOvarianCancer"
41,0.0714285714285714,0.811577752553916,"HumanOvarianCancer"
42,0.0973451327433628,0.81044267877412,"HumanOvarianCancer"
43,0.0768245838668374,0.81838819523269,"HumanOvarianCancer"
44,0.0737812911725955,0.798863636363636,"HumanOvarianCancer"
45,0.0699481865284974,0.814982973893303,"HumanOvarianCancer"
46,0.0881226053639847,0.811363636363636,"HumanOvarianCancer"
47,0.073510773130545,0.829738933030647,"HumanOvarianCancer"
48,0.0869565217391304,0.81044267877412,"HumanOvarianCancer"
49,0.0846153846153846,0.81044267877412,"HumanOvarianCancer"
50,0.0529100529100529,0.812712826333712,"HumanOvarianCancer"
51,0.0868421052631579,0.787741203178207,"HumanOvarianCancer"
52,0.0825806451612903,0.807037457434733,"HumanOvarianCancer"
53,0.085133418043202,0.818181818181818,"HumanOvarianCancer"
54,0.0834403080872914,0.81044267877412,"HumanOvarianCancer"
55,0.0895334174022699,0.819523269012486,"HumanOvarianCancer"
56,0.089974293059126,0.803632236095346,"HumanOvarianCancer"
57,0.0843060959792477,0.801362088535755,"HumanOvarianCancer"
58,0.0889453621346887,0.814772727272727,"HumanOvarianCancer"
59,0.0966494845360825,0.796590909090909,"HumanOvarianCancer"
60,0.0751295336787565,0.81044267877412,"HumanOvarianCancer"
61,0.0782051282051282,0.816118047673099,"HumanOvarianCancer"
62,0.0790155440414508,0.807037457434733,"HumanOvarianCancer"
63,0.0739795918367347,0.824063564131669,"HumanOvarianCancer"
64,0.0902160101651842,0.812712826333712,"HumanOvarianCancer"
65,0.077720207253886,0.810011376564278,"HumanOvarianCancer"
66,0.0819462227912932,0.813847900113507,"HumanOvarianCancer"
67,0.0903387703889586,0.822928490351873,"HumanOvarianCancer"
68,0.0642201834862385,0.812286689419795,"HumanOvarianCancer"
69,0.073697585768742,0.827468785471056,"HumanOvarianCancer"
70,0.0739795918367347,0.824063564131669,"HumanOvarianCancer"
71,0.069828722002635,0.802272727272727,"HumanOvarianCancer"
72,0.0731070496083551,0.810502283105023,"HumanOvarianCancer"
73,0.0627450980392157,0.814772727272727,"HumanOvarianCancer"
74,0.0850785340314136,0.794318181818182,"HumanOvarianCancer"
75,0.0924261874197689,0.80249716231555,"HumanOvarianCancer"
76,0.0768229166666667,0.805681818181818,"HumanOvarianCancer"
77,0.0608020698576973,0.824063564131669,"HumanOvarianCancer"
78,0.0745672436750999,0.788876276958002,"HumanOvarianCancer"
79,0.0813953488372093,0.807037457434733,"HumanOvarianCancer"
80,0.0752972258916777,0.794551645856981,"HumanOvarianCancer"
81,0.089058524173028,0.812712826333712,"HumanOvarianCancer"
82,0.0669344042838019,0.791146424517594,"HumanOvarianCancer"
83,0.0730117340286832,0.807037457434733,"HumanOvarianCancer"
84,0.0858974358974359,0.809307604994325,"HumanOvarianCancer"
85,0.0753512132822478,0.821793416572077,"HumanOvarianCancer"
86,0.0830090791180285,0.803409090909091,"HumanOvarianCancer"
87,0.0935524652338812,0.813847900113507,"HumanOvarianCancer"
88,0.0830140485312899,0.814982973893303,"HumanOvarianCancer"
89,0.0843214756258235,0.789772727272727,"HumanOvarianCancer"
90,0.0792207792207792,0.806598407281001,"HumanOvarianCancer"
91,0.0924261874197689,0.804323094425484,"HumanOvarianCancer"
92,0.0949367088607595,0.811577752553916,"HumanOvarianCancer"
93,0.0728218465539662,0.811149032992036,"HumanOvarianCancer"
94,0.0664928292046936,0.812712826333712,"HumanOvarianCancer"
95,0.0744544287548139,0.819318181818182,"HumanOvarianCancer"
96,0.0724450194049159,0.813847900113507,"HumanOvarianCancer"
97,0.0836501901140684,0.823462414578588,"HumanOvarianCancer"
98,0.0828025477707006,0.817253121452894,"HumanOvarianCancer"
99,0.102756892230576,0.812712826333712,"HumanOvarianCancer"
100,0.0918367346938776,0.810011376564278,"HumanOvarianCancer"
