"gene_name","sigma_b_sq_stationary","sigma_eps_sq_stationary","range_stationary","prop_spatial_stationary","log_ml_stationary","sigma_b_sq_nonstationary","sigma_eps_sq_nonstationary","range_nonstationary","prop_spatial_nonstationary","log_ml_nonstationary","log_bayes_factor","bayes_factor","bf_interpretation","dataset_name","dataset_file","n_spots","n_genes_total"
"OSER1",0.00281222713161121,0.340301113802587,1350.93785492978,0.00819620456597324,-3773.40023680548,0.000888587597399402,0.340319861066431,927.659050915236,0.00260423679682934,-3777.2043843616,-3.80414755612037,0.0222781799721858,"Very strong for stationary","HumanHeart","HumanHeart.rds",4247,36601
"OSER1-DT",0.000328585985700471,0.246545488624927,608.677696418158,0.00133098619698614,-3082.20089491754,0.000829918713806043,0.245540117799402,208.925999256863,0.00336858623537018,-3086.34920632651,-4.14831140896604,0.0157910586246952,"Very strong for stationary","HumanHeart","HumanHeart.rds",4247,36601
"FITM2",0.0565072624766006,0.679150785358787,251.259046344957,0.0768118593181554,-5253.95816467225,0.0192471202837586,0.681947713818246,975.280316534558,0.0274490332040277,-5263.42843281956,-9.47026814730907,7.71107276758783e-05,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"TTPAL",1.30221256111029e-05,0.0769142695998792,80.1369348159031,0.000169278357771537,-602.617431849376,1.00062875743327e-05,0.0768254382320125,96.7220790660682,0.000130230099362305,-608.229892095401,-5.61246024602542,0.00365207329719357,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"SERINC3",0.00984566202041476,0.551672876062867,632.63669311015,0.0175339928295555,-4804.50333126353,0.00311846216602727,0.551822122796647,569.704687409217,0.00561945233513065,-4808.67388097767,-4.17054971413927,0.0154437681323335,"Very strong for stationary","HumanHeart","HumanHeart.rds",4247,36601
"PKIG",0.0631540398731917,0.711245444355142,599.032239232357,0.0815522752266846,-5390.35108941865,0.0655648701824453,0.710922874416588,579.72625674204,0.0844377398593741,-5398.94195632942,-8.59086691076209,0.000185794950177436,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"ADA",2.51560228948211e-08,0.157498985643541,7.95702965410125,1.59721783439231e-07,-2122.64441416582,4.39145945871215e-05,0.157345747460586,609.093169454728,0.000279018291377532,-2129.14651994027,-6.50210577445114,0.00150027662013735,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"CCN5",0.00249497028178144,0.314979087016729,875.286490715726,0.0078588162541908,-3605.26331182021,0.00138156941320274,0.313549337250966,506.333889368369,0.00438689688426165,-3608.76661022231,-3.50329840210634,0.0300979443943356,"Very strong for stationary","HumanHeart","HumanHeart.rds",4247,36601
"YWHAB",0.0254800318883176,0.713061149559362,831.487722410733,0.0345004889752686,-5370.22530455184,0.0266597946477752,0.713249635310916,739.31220221007,0.0360311594478038,-5377.39343859456,-7.16813404272762,0.00077075959471828,"Extreme for stationary","HumanHeart","HumanHeart.rds",4247,36601
"TOMM34",0.00147126998215949,0.200901025488153,230.352592221668,0.00727011559927343,-2648.35984652663,7.62995250262038e-05,0.201060271960337,552.111648834078,0.000379341879314853,-2652.91151103356,-4.55166450693559,0.0105496298294074,"Very strong for stationary","HumanHeart","HumanHeart.rds",4247,36601
